Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
3,33.0,3304.0,0,0,4.0
3,33.0,3304.0,1.4,5,9.0
3,33.0,3304.0,6.1,10,14.0
3,33.0,3304.0,10.5,15,19.0
3,33.0,3304.0,12.8,20,24.0
3,33.0,3304.0,13.3,25,29.0
3,33.0,3304.0,13.4,30,34.0
3,33.0,3304.0,13.2,35,39.0
3,33.0,3304.0,12.8,40,44.0
3,33.0,3304.0,12,45,49.0
3,33.0,3304.0,11.4,50,54.0
3,33.0,3304.0,10.8,55,59.0
3,33.0,3304.0,10.2,60,64.0
3,33.0,3304.0,9.7,65,69.0
3,33.0,3304.0,8.8,70,74.0
3,33.0,3304.0,7.3,75,79.0
3,33.0,3304.0,6.6,80,84.0
3,33.0,3304.0,5.6,85,
4,41.0,4101.0,0,0,4.0
4,41.0,4101.0,1.5,5,9.0
4,41.0,4101.0,6,10,14.0
4,41.0,4101.0,10.7,15,19.0
4,41.0,4101.0,13.4,20,24.0
4,41.0,4101.0,14.1,25,29.0
4,41.0,4101.0,14.2,30,34.0
4,41.0,4101.0,14.2,35,39.0
4,41.0,4101.0,13.9,40,44.0
4,41.0,4101.0,13.5,45,49.0
4,41.0,4101.0,12.9,50,54.0
4,41.0,4101.0,12.1,55,59.0
4,41.0,4101.0,11.5,60,64.0
4,41.0,4101.0,11.3,65,69.0
4,41.0,4101.0,10.9,70,74.0
4,41.0,4101.0,9.9,75,79.0
4,41.0,4101.0,9,80,84.0
4,41.0,4101.0,7.9,85,
4,41.0,4102.0,0,0,4.0
4,41.0,4102.0,1.5,5,9.0
4,41.0,4102.0,6,10,14.0
4,41.0,4102.0,10.6,15,19.0
4,41.0,4102.0,13.3,20,24.0
4,41.0,4102.0,13.8,25,29.0
4,41.0,4102.0,13.8,30,34.0
4,41.0,4102.0,13.6,35,39.0
4,41.0,4102.0,13.3,40,44.0
4,41.0,4102.0,12.7,45,49.0
4,41.0,4102.0,12.2,50,54.0
4,41.0,4102.0,11.5,55,59.0
4,41.0,4102.0,10.9,60,64.0
4,41.0,4102.0,10.6,65,69.0
4,41.0,4102.0,10,70,74.0
4,41.0,4102.0,8.9,75,79.0
4,41.0,4102.0,8,80,84.0
4,41.0,4102.0,6.8,85,
4,41.0,4103.0,0,0,4.0
4,41.0,4103.0,1.5,5,9.0
4,41.0,4103.0,6.2,10,14.0
4,41.0,4103.0,10.9,15,19.0
4,41.0,4103.0,13.3,20,24.0
4,41.0,4103.0,13.5,25,29.0
4,41.0,4103.0,13.2,30,34.0
4,41.0,4103.0,12.7,35,39.0
