Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
2,22.0,2203.0,30 a 34,1027.0,488.0,539.0
2,22.0,2203.0,35 a 39,975.0,472.0,503.0
2,22.0,2203.0,40 a 44,795.0,374.0,421.0
2,22.0,2203.0,45 a 49,683.0,343.0,340.0
2,22.0,2203.0,50 a 54,535.0,265.0,270.0
2,22.0,2203.0,55 a 59,477.0,229.0,248.0
2,22.0,2203.0,60 a 64,370.0,173.0,197.0
2,22.0,2203.0,65 a 69,299.0,150.0,149.0
2,22.0,2203.0,70 a 74,201.0,96.0,105.0
2,22.0,2203.0,75 a 79,133.0,45.0,88.0
2,22.0,2203.0,80 a 84,107.0,51.0,56.0
2,22.0,2203.0,85 o más,99.0,38.0,61.0
2,23.0,2301.0,0 a 4,1282.0,645.0,637.0
2,23.0,2301.0,5 a 9,1800.0,897.0,903.0
2,23.0,2301.0,10 a 14,2100.0,1048.0,1052.0
2,23.0,2301.0,15 a 19,1752.0,930.0,822.0
2,23.0,2301.0,20 a 24,1595.0,850.0,745.0
2,23.0,2301.0,25 a 29,1896.0,991.0,905.0
2,23.0,2301.0,30 a 34,2129.0,1044.0,1085.0
2,23.0,2301.0,35 a 39,1934.0,952.0,982.0
2,23.0,2301.0,40 a 44,1598.0,786.0,812.0
2,23.0,2301.0,45 a 49,1521.0,762.0,759.0
2,23.0,2301.0,50 a 54,1535.0,744.0,791.0
2,23.0,2301.0,55 a 59,1415.0,688.0,727.0
2,23.0,2301.0,60 a 64,1488.0,744.0,744.0
2,23.0,2301.0,65 a 69,1275.0,641.0,634.0
2,23.0,2301.0,70 a 74,913.0,432.0,481.0
2,23.0,2301.0,75 a 79,571.0,235.0,336.0
2,23.0,2301.0,80 a 84,339.0,128.0,211.0
2,23.0,2301.0,85 o más,257.0,72.0,185.0
2,23.0,2302.0,0 a 4,254.0,126.0,128.0
2,23.0,2302.0,5 a 9,341.0,182.0,159.0
2,23.0,2302.0,10 a 14,355.0,186.0,169.0
2,23.0,2302.0,15 a 19,318.0,180.0,138.0
2,23.0,2302.0,20 a 24,321.0,165.0,156.0
2,23.0,2302.0,25 a 29,405.0,205.0,200.0
2,23.0,2302.0,30 a 34,436.0,211.0,225.0
2,23.0,2302.0,35 a 39,390.0,190.0,200.0
2,23.0,2302.0,40 a 44,352.0,184.0,168.0
2,23.0,2302.0,45 a 49,273.0,126.0,147.0
2,23.0,2302.0,50 a 54,303.0,137.0,166.0
2,23.0,2302.0,55 a 59,335.0,174.0,161.0
2,23.0,2302.0,60 a 64,301.0,161.0,140.0
2,23.0,2302.0,65 a 69,198.0,115.0,83.0
2,23.0,2302.0,70 a 74,128.0,71.0,57.0
2,23.0,2302.0,75 a 79,57.0,31.0,26.0
